Column1;Column2;Column3;Column4
5.2833;-24.3833;red;"sunday, 16th. first part calm, the remainder gentle breezes and fine,
pleasant weather."
4.7833;-28.2;red;monday, 17th. variable, light airs and calm clear weather.
1.6667;-28.2;red;"tuesday, 18th. sometimes little wind, sometimes squally, with rain and
lightning."
1.6667;-28.8333;red;saturday, 22nd. moderate breezes and fine, pleasant weather.
1.1167;-30.3;red;sunday, 23rd. a moderate, steady breeze and fine clear weather.
-1.35;-31.1167;red;"monday, 24th. first part ditto weather; remainder fresh breezes and
cloudy, with some flying showers of rain."
-2.3833;-32.0;red;"wednesday, 26th. first part light airs and cloudy weather, the remainder
a moderate breeze and cloudy."
-5.4167;-33.1167;red;thursday, 27th. fresh gales and close cloudy weather.
-14.85;-33.6167;red;saturday, 29th. fresh breezes and pleasant weather.
-16.8167;-34.8333;red;thursday, 3rd. a fresh trade wind and fair weather.
-18.3667;-35.8333;red;friday, 4th. a steady gale and fair weather.
-19.05;-36.8333;red;saturday, 5th. fine pleasant weather.
-19.7667;-37.5833;red;"sunday, 6th. first and latter part squally, with heavy showers of rain;
middle moderate and fair."
-21.2667;-42.25;red;monday, 7th. moderate breezes and clear weather.
-22.8333;-42.4833;red;tuesday, 8th. fresh breezes and cloudy weather.
-24.2833;-42.2667;red;"the city of rio de janeiro is in the latitude of 22 degrees 50 minutes
south and longitude 42 degrees 15 minutes west from greenwich. * (* modern
determination, 22 degrees 54 minutes south, 43 degrees 10 minutes west.)"
-24.7667;-41.2;red;"thursday, december 8th. fore and middle parts moderate breezes and
cloudy; remainder, little wind and clear weather."
-25.5667;-41.1333;red;friday, 9th. genteel light breezes and clear weather.
-25.7167;-42.1;red;"saturday, 10th. moderate breezes with some flying showers of rain the
first part."
-28.0;-41.9167;red;sunday, 11th. little wind and clear weather the most part of this day.
-29.4;-41.65;red;"tuesday, 13th. first part gentle breezes and clear, remainder a steady
gale."
-30.1333;-42.5333;red;"wednesday, 14th. first and latter parts, fresh breezes and cloudy;
middle, little wind, with thunder, lightning and rain."
-31.35;-42.8;red;"thursday, 15th. the first part a fresh gale and dark cloudy weather;
remainder, little wind and clear; a large swell from south-west."
-32.25;-43.45;red;friday, 16th. genteel breezes and clear weather.
-32.7;-49.0167;red;"saturday, 17th. hazey with frequent showers of rain all the fore and
middle part; latter, clear weather with a gentle breeze of wind."
-37.1333;-49.5333;red;"sunday, 18th. first part, light winds; remainder, fresh breezes and clear
weather."
-36.7667;-50.5333;red;thursday, 22nd. little wind the most part of this day.
-37.1833;-52.0833;red;friday, 23rd. light airs and clear weather.
-38.6167;-56.25;red;"saturday, 24th. first part calm; remainder a genteel breeze and fine
clear weather."
-41.6333;-58.4833;red;sunday, 25th. fresh breezes and fine clear weather.
-40.8167;-59.6167;red;"tuesday, 27th. fresh breezes and hazey with squalls which obliged us
during the night to take in the small sails and 2 reefs in the topsails
which were let out in the morning."
-41.75;-60.25;red;"wednesday, 28th. first part strong gales and cloudy, which obliged us to
get down top-gallant yards."
-42.5333;-60.4333;red;"thursday, 29th. first part moderate breezes and cloudy; remainder fresh
breezes and clear."
-43.2333;-61.1333;red;"friday, 30th. little wind, and sometimes calm; the first part clear
weather, remainder foggy and hazey."
-43.5833;-61.1167;red;"saturday, 31st. cloudy weather, with some lightning and a few showers of
rain."
-45.2833;-61.4833;red;"sunday, january 1st, 1769. first and latter part, fresh breezes and clear
weather; in the middle, light airs and calm. at noon, longitude in per 4
sets of observations between the sun and moon 61 degrees 8 minutes 28
seconds west."
-47.2833;-61.0;red;"monday, january 2nd. the first part of this day a genteel gale and clear
weather; middle, squally, with lightning and rain, and some showers of
large hail stones; towards noon a steady fresh breeze and clear weather."
-49.8167;-62.3167;red;"tuesday, 3rd. fresh gales and clear weather; under single reef topsails."
-51.3333;-61.9833;red;"thursday, 5th. fore part, fresh gales and clear; middle, light airs;
remainder, fresh gales and a little hazey."
-51.4333;-62.8333;red;"friday, 6th. fresh gales, the air very sharp and cold; frequent showers
of rain and squalls."
-51.2667;-63.1667;red;"saturday, 7th. first part, strong gales, with excessive hard squals, with
rain."
-52.9;-64.5833;red;"sunday, 8th. wind and weather both variable, but for the most part little
wind."
-54.3333;-68.45;red;tuesday, 10th. moderate breezes and fine clear weather.
-57.0333;-68.7833;red;wednesday, 11th. a steady genteel breeze and clear weather.
-56.6333;-72.8;red;"on the south-west side of the cape of good success (which forms the
south-west entrance of strait le mair, and is known by some rocks off it)
lies valentine's bay, the entrance of which we only saw. from this bay
the land trends to the west-south-west; for 20 or 30 leagues it appears
high and mountainous, and forms several bays and inlets south-west 1/2
south 14 leagues from the cape of good success, and 2 or 3 leagues from
the shore lies new island; it is 2 leagues in length, north-east and
south-west, the north-east end is terminated by a remarkable hillock."
-59.0;-78.7;red;thursday, 26th. fresh gales and thick hazey weather, with small rain.
-58.7667;-80.9667;red;"friday, 27th. first part, moderate breezes and thick hazey weather; the
middle, fair and cloudy; and the latter, fresh gales with some rain."
-58.5;-81.9167;red;"saturday, 28th. fresh gales the most part of this day; first and middle
parts cloudy; latter, clear with a sharp cold air."
-58.55;-82.2667;red;"sunday, 29th. first and latter parts, fresh gales and squally, with
flying showers of rain and hail; the middle, strong gales with heavy
squalls and showers of rain."
-57.75;-82.2667;red;"wednesday, february 1st. first part, fresh gales; latter, light airs and
cloudy; p.m. found the variation by several azimuth to be 24 degrees 53
minutes east."
-56.7667;-82.3833;red;"thursday, 2nd. first part, light breezes and cloudy; remainder, sometimes
a fresh breeze and at other times little wind and hazey, rainy, cold
weather."
-55.3333;-82.9;red;"friday, 3rd. calm and light airs, and for the most part cloudy and
sometimes drizling rain."
-54.6667;-83.3167;red;"saturday, 4th. fore and middle parts, little wind and dark cloudy
weather; latter, fresh gales and cloudy with some rain."
-53.6;-86.2833;red;"sunday, 5th. fresh gales with heavy squalls the first part; remainder,
little wind and cloudy."
-52.3667;-86.6167;red;"monday, 6th. a moderate breeze of wind with some flying showers of hail
and rain; close upon a wind all this day."
-51.2667;-87.4;red;"tuesday, 7th. a fresh breeze and dark cloudy weather, with some showers
of rain; the wind, varying from west to north by west, obliged us to tack
several times."
-50.9167;-89.6;red;"wednesday, 8th. first part, cloudy with squalls of wind and showers of
rain and hail; latter part thick hazey weather, with frequent showers."
-49.6833;-90.6167;red;"thursday, 9th. fresh gales all this day, sometimes squally with rain;
under double-reef topsails in the night, and single-reeft topsail in the
day."
-49.5833;-91.2;red;"friday, 10th. the former part of this day had fresh breezes and dark
cloudy weather; in the night hard squalls with rain, and afterwards hazy,
rainy weather."
-49.1;-92.0833;red;"saturday, 11th. former part light airs with drizling rain; remainder, a
moderate breeze and cloudy."
-48.45;-94.4167;red;"sunday, 12th. first and middle parts, fresh gales and cloudy; latter,
little wind and clear."
-48.0;-97.2833;red;"monday, 13th. the first part of these 24 hours, moderate breezes and
cloudy; remainder, fresh gales and cloudy."
-46.8;-99.1167;red;"from the foregoing observations it will appear that we are now advanced
about 12 degrees to the westward of the strait of magellan, and 3 1/2
degrees to the northward of it, having been 33* (* n.b. 23 days only from
success bay.)"
-44.8333;-100.35;red;"tuesday, 14th. the first part, fresh gales and hazey with rain; the
remainder moderate and cloudy, with frequent rain."
-43.35;-101.5667;red;wednesday, 15th. little wind and cloudy the most part of this day.
-43.7667;-103.9;red;"thursday, 16th. the first part of this day had fresh gales and cloudy; in
the night thick hazey weather with heavy squalls of wind and rain, which
obliged us to close-reef our topsails."
-44.65;-106.0167;red;friday, 17th. strong gales and cloudy the most part of this day.
-44.7667;-105.8667;red;saturday, 18th. fresh gales all this day.
-44.5833;-109.0;red;"sunday, 19th. first part, fresh gales and hazey; the middle part, hazey,
with drizling rain; the latter, gentle breezes and fine clear weather,
yet the air is still cold."
-42.3833;-109.8667;red;"monday, 20th. moderate breezes and fine weather the greater part of this
day, and the sea very smooth."
-41.0667;-111.7167;red;tuesday, 21st. fresh breezes and pretty clear weather.
-38.7333;-112.0833;red;wednesday, 22nd. hazey, rainy weather the most part of this day.
-37.2667;-111.5667;red;"thursday, 23rd. little wind and calm, and some lightning, a thing we have
not seen for some time past, and therefore suppose not common in these
seas in high latitudes."
-36.8167;-112.8333;red;"saturday, 25th. first and middle parts, fresh gales and cloudy, with some
rain; the latter, little wind and cloudy."
-36.2;-114.15;red;"sunday, 26th. first part, calm and light airs; remainder, very strong
gales and squally, with showers of rain, which at length brought us under
our two courses, and close-reefed maintopsail."
-36.35;-114.5;red;"wednesday, march 1st. first part fresh breezes, the remainder moderate
breezes and clear weather."
-36.5333;-116.1333;red;"thursday, 2nd. former part, fresh gales and hazey, with much rain; the
remainder, a strong fresh gale and pretty clear weather."
-37.1333;-117.6833;red;"friday, 3rd. first part, moderate breezes; remainder, calm and clear
weather."
-37.4;-119.3;red;"saturday, 4th. first part, calm; remainder, a fine genteel breeze and
clear weather."
-35.7833;-120.9;red;"sunday, 5th. first and latter parts, fine clear weather; the middle,
fresh gales and hazey, with rain."
-34.2333;-122.5833;red;monday, 6th. moderate breezes and tolerable clear weather all this day.
-32.9;-124.4167;red;tuesday, 7th. a moderate steady breeze and clear weather.
-31.5667;-125.4667;red;"wednesday, 8th. the first and middle parts moderate breezes and cloudy;
the latter part variable winds and much rain."
-30.7667;-126.1667;red;"thursday, 9th. first part, moderate and hazey, with drizling rain; the
remainder fresh breezes and clear weather."
-30.2833;-126.8833;red;friday, 10th. moderate breezes and fine pleasant weather.
-29.7167;-127.1333;red;saturday, 11th. a steady gale and fine weather.
-29.3667;-127.4833;red;sunday, 12th. ditto weather.
-28.5;-128.7333;red;"monday, 13th. first part a steady, fresh gale; the remainder, little wind
and fine clear weather."
-27.8667;-129.4667;red;tuesday, 14th. little wind and fine pleasant weather.
-27.35;-129.4667;red;wednesday, 15th. light breezes and clear weather.
-25.7333;-129.4667;red;thursday, 16th. light airs next to a calm and clear weather.
-25.35;-129.8667;red;friday, 17th. little wind and fine pleasant weather.
-25.35;-130.1333;red;"saturday, 18th. first part, little wind and cloudy; latter, fresh gales
and hard squalls, with much rain."
-24.7167;-129.0333;red;"sunday, 19th. first part fresh gales and squally, with rain; remainder
more moderate and cloudy."
-22.3833;-127.9167;red;monday, 20th. a fine breeze and pleasant weather.
-22.1833;-127.6333;red;tuesday, 21st. first part little wind, the remainder calm.
-21.0333;-127.8333;red;wednesday, 22nd. first part calm, in the night squally, with rain.
-20.6333;-129.45;red;"thursday, 23rd. fresh gales and squally, with rain, the first part;
remainder fresh gales and cloudy."
-20.2333;-129.45;red;"friday, 24th. fresh gales and cloudy, with some rain in the forepart of
this day."
-19.5667;-131.35;red;"saturday, 25th. first part dark cloudy weather, with rain and a fresh
breeze of wind; remainder fair and cloudy."
-19.1167;-133.4667;red;monday, 27th. variable winds and weather, with frequent showers of rain.
-19.1167;-135.55;red;tuesday, 28th. little wind and cloudy.
-19.0;-137.4833;red;wednesday, 29th. little winds and cloudy weather.
-18.7667;-139.4667;red;"thursday, 30th. first part, calm and close cloudy weather; in the night
had variable winds and weather, with rain."
-18.7833;-139.8;red;friday, 31st. a steady breeze and fine pleasant weather.
-18.5833;-141.2;red;saturday, april 1st. a steady fresh trade and fine weather.
-18.3833;-142.7;red;sunday, 2nd. a fresh trade wind and fine pleasant weather.
-18.2;-145.2667;red;"monday, 3rd. first and latter parts a steady fresh breeze and cloudy; the
middle, sometimes squally with rain, at other times little wind."
-17.7167;-145.9;red;tuesday, 4th. a steady fresh trade and clear weather.
-17.3833;-148.1667;red;wednesday, 5th. a fresh steady gale and fine weather.
-17.8;-148.65;red;thursday, 6th. a fresh trade and fine pleasant weather.
-17.6333;-148.9667;red;friday, 7th. fresh gales and cloudy.
-17.6333;-150.8667;red;"saturday, 8th. fresh trade and pleasant weather, but about noon had a few
flying showers of rain."
-16.7167;-151.45;red;sunday, 9th. a steady fresh gale and pleasant weather.
-16.7667;-151.75;red;"monday, 10th. p.m. moderate breezes and cloudy; in the night, dark,
cloudy, unsettled weather, with very much thunder, lightning, and rain."
-18.9833;-151.6;red;"tuesday, 11th. first part, little wind and cloudy; the remainder, little
wind and very variable; unsettled weather, with some rain."
-20.25;-151.15;red;"wednesday, 12th. variable, light airs all these 24 hours, and hot sultry
weather."
-21.7833;-150.9167;red;"this island is called by the natives otaheite, and was first discovered
by captain wallis, in his majesty's ship dolphin, on june 19th, 1767, and
to the credit of him and his officers, the longitude of royal bay was by
them settled to within half a degree of the truth, and the whole figure
of the island not ill described. it is situated between the latitude of
17 degrees 29 minutes and 17 degrees 53 minutes south, and between the
longitude of 149 degrees 10 minutes and 149 degrees 39 minutes west from
the meridian of greenwich."
-22.4333;-150.7833;red;wednesday, 19th. p.m. variable light airs and clear weather.
-22.45;-150.6167;red;"they are situated between the latitude of 16 degrees 10 minutes and 16
degrees 55 minutes south and between the longitude 151 degrees 00 minutes
and 151 degrees 42 minutes west from the meridian of greenwich. ulietea
and otaha lay close to each other, and are both inclosed within a reef of
coral rocks; and altho' the distance between the one and the other is
near 2 miles, yet there is no passage for shipping."
-24.0167;-150.3167;red;"thursday, august 10th. p.m., light airs and calm, remainder fresh breezes
and cloudy."
-25.0;-149.1;red;friday, 11th. fresh breezes and clear weather.
-27.6667;-148.4167;red;saturday, 12th. gentle breezes and fair weather.
-28.4;-148.3667;red;sunday, 13th. moderate breezes and clear weather.
-29.7333;-148.0;red;monday, 14th. fresh breezes and fair weather.
-31.05;-147.4833;red;"this island is situated in the latitude of 22 degrees 27 minutes south,
and in the longitude of 150 degrees 47 minutes west from the meridian of
greenwich. * (* latitude is correct."
-31.1;-147.1667;red;"the farthest island to the southward that tupia hath been at, or knows
anything of, lies but 2 days' sail from ohetiroa, and is called moutou,*
(* tubuai.) but he says that his father once told him that there was
islands to the southward of it; but we cannot find that he either knows
or ever heard of a continent or large track of land."
-32.7333;-147.5333;red;"wednesday, 16th. fresh breezes and cloudy the first part; in the night,
squally, with rain; remainder, moderate and fair weather."
-32.4333;-147.5;red;"saturday, 19th. little wind with much rain in the night, the south-west
swell still continues, from which i conclude that there is no land near
us in that quarter."
-32.65;-147.4167;red;sunday, 20th. little wind all this day.
-33.5667;-147.4167;red;monday, 21st. fresh gales and hazey weather.
-35.5667;-147.35;red;"tuesday, 22nd. first part strong gales with much rain, thunder, and
lightning; remainder moderate and fair weather."
-37.0;-147.1;red;wednesday, 23rd. little wind for the most part, and pretty clear weather.
-38.3333;-147.0;red;"thursday, 24th. the first part light airs and calm; middle, moderate
breezes and cloudy; latter part very squally with rain."
-39.4667;-146.4833;red;"friday, 25th. the first and middle part strong gales and squally with
rain, remainder moderate and cloudy."
-40.2;-145.65;red;saturday, 26th. moderate and cloudy weather, a swell from the south-west.
-38.9;-145.5333;red;"sunday, 27th. first part little wind and cloudy; latter part, fresh gales
and clear weather."
-38.4833;-146.0333;red;monday, 28th. fresh gales and cloudy, with rain on the latter part.
-37.8667;-147.8167;red;"tuesday, 29th. fore and middle parts fresh gales and dark, hazey weather
with some rain."
-37.8667;-149.2;red;wednesday, 30th. fresh breeze and fair weather.
-36.3167;-150.7667;red;thursday, 31st. the first part a fresh breeze and cloudy.
-35.3167;-152.0;red;"friday, september 1st. very strong gales and heavy squalls with rain; at
6 p.m. brought too under the main sail."
-34.25;-152.7333;red;"sunday, 3rd. the fore and middle parts fresh gales, with hard squalls;
latter more moderate."
-33.2;-153.9;red;"monday, 4th. first and latter parts, little wind and cloudy; in the night
calm."
-32.0833;-156.5667;red;tuesday, 5th. fresh breezes and cloudy weather.
-32.6;-158.2667;red;thursday, 7th. fresh gales and hard squalls, with rain.
-31.75;-159.1;red;"saturday, 9th. moderate breezes and dark, cloudy weather, sometimes
hazey, with drizling rain."
-31.2333;-159.5333;red;sunday, 10th. fresh breezes and cloudy.
-29.0;-159.4167;red;"monday, 11th. fresh breezes, and for the most part thick, hazey weather,
with rain."
-29.0;-159.7833;red;"tuesday, 12th. fresh breezes and cloudy; a swell from the
south-south-west."
-29.3333;-160.7;red;thursday, 14th. gentle breezes, and sometimes calm.
-30.0;-161.5833;red;"friday, 15th. first part, moderate and cloudy, remainder strong gales and
squally."
-31.1167;-162.7333;red;"saturday, 16th. first part very strong gales and squally; remainder more
moderate, with a large swell from the southward."
-31.9833;-162.85;red;sunday, 17th. fresh gales and cloudy.
-33.3;-165.1667;red;monday, 18th. moderate gales and cloudy, with a swell from the southward.
-34.5;-167.2333;red;"tuesday, 19th. variable; light airs and calm."
-36.15;-168.1667;red;wednesday, 20th. light airs and calm.
-37.55;-169.0833;red;thursday, 21st. most part gentle breezes and clear weather.
-38.9833;-170.2333;red;friday, 22nd. fresh breezes and cloudy.
-38.5;-172.3333;red;saturday, 23rd. gentle breezes and cloudy weather.
-38.4333;-175.0;red;sunday, 24th. moderate breezes and cloudy.
-37.7167;-176.05;red;monday, 25th. ditto weather.
-38.3833;-177.0333;red;tuesday, 26th. fresh breezes and fair weather.
-39.1833;179.6;red;"wednesday, 27th. very strong gales and hazey, with rain the first and
middle part; latter, moderate and clear weather."
-39.1167;178.4;red;"thursday, 28th. first and middle parts, fresh gales and cloudy; latter
part, very strong gales and squally."
-39.7167;178.9167;red;"friday, 29th. the first part strong gales and squally; remainder a fresh
breeze and settled weather."
-40.5667;179.0;red;saturday, 30th. moderate breezes and settled weather.
-37.7;177.1167;red;wednesday, 4th. gentle breezes and cloudy weather.
-37.9833;176.0667;red;thursday, 5th. light, gentle breezes and clear weather.
-36.7833;175.4167;red;friday, 6th. little wind, and fine pleasant weather.
-35.1667;174.8333;red;"wednesday, 11th. in the p.m., as i intended to sail in the morning, we
put the 3 youths ashore, seemingly very much against their inclination;
but whether this was owing to a desire they had to remain with us, or the
fear of falling into the hands of their enemies, as they pretended, i
know not."
-34.85;177.75;red;"thursday, 12th. gentle breezes at north-west and north, with frequent
calms."
-34.1667;174.9167;red;"sunday, 15th. p.m. stood over for the southermost land or south point of
the bay, having a light breeze at north-east, our soundings from 12 to 8
fathoms."
-34.3667;173.75;red;"tuesday, 17th. p.m. winds at west, a fresh breeze; in the night, variable
light airs and calm; a.m. a gentle breeze between the north-west and
north-east."
-34.1667;172.3333;red;"tuesday, 31st. at half-past one p.m. hauled round the island above
mentioned, which lies east 1 mile from the north-east point of the land."
-35.1667;172.4833;red;"thursday, 2nd. gentle breezes from north-west round northerly to
east-south-east and fair weather."
-35.3167;172.45;red;"mercury bay* (* at the head of mercury bay is a small settlement called
whitianga.) lies in the latitude of 36 degrees 47 minutes south, and the
longitude of 184 degrees 4 minutes west, from the meridian of greenwich."
-34.8333;173.3;red;monday, 27th. p.m., gentle breezes easterly, and clear weather.
-34.5;175.25;red;"sunday, 10th. had the winds from the western board all this day, a gentle
breeze and clear weather."
-39.2667;176.65;red;"friday, 15th. fresh gales at south-west, and for the most part clear
weather with a large swell from the westward."
-40.45;176.75;red;tuesday, 19th. the wind still continues at west.
-41.0;177.9667;red;monday, 25th. a gentle breeze at south-east, the weather a little hazey.
-41.5667;176.7833;red;"tuesday, 26th. moderate breezes, easterly and hazey weather; standing to
the southward close upon a wind."
-41.7;174.5;red;wednesday, 27th. winds at east.
-47.7167;172.0;red;saturday, 13th. winds variable.
-47.2;168.2;blue;"thursday, 8th. in the p.m. had a fresh breeze at north-north-east and
cloudy weather."
-47.4333;168.8167;blue;"saturday, 17th. p.m. stood to the southward for the land above mention'd,
with the wind at north, a fresh breeze and clear weather."
-47.3167;167.8333;blue;"tuesday, 20th. all p.m. had little wind, which veer'd round from south by
east to north-north-east."
-47.6667;175.1;blue;"wednesday, 28th. strong gale at south-west, with a large sea from the
same quarter."
-44.0833;179.0;blue;"thursday, march 1st. winds between the south-west and north-north-west, a
fresh gale."
-40.5;175.9667;blue;"sunday, 1st april. in the p.m. had a moderate breeze at east, which in
the night veer'd to the north-east, and was attended with hazey, rainy
weather."
-37.3833;164.7333;blue;"saturday, 7th. gentle breezes at north-east, which in the a.m. veer'd to
north-west."
-39.3833;156.0333;blue;"friday, 13th. light airs next to a calm, with clear pleasant weather;
what little wind we had was from the north-west quarter."
-37.9667;150.65;blue;"wednesday, 18th. winds southerly, a hard gale, with heavy squalls,
attended with showers of rain and a great sea from the same quarter."
-37.4667;150.05;blue;"thursday, 19th. in the p.m. had fresh gales at south-south-west and
cloudy squally weather, with a large southerly sea; at 6 took in the
topsails, and at 1 a.m. brought too and sounded, but had no ground with
130 fathoms of line."
-35.1667;152.85;blue;"friday, 20th. in the p.m. and most part of the night had a fresh gale
westerly, with squalls, attended with showers of rain."
-34.3667;152.6;blue;"tuesday, 24th. in the p.m. had variable light airs and calms until 6
o'clock, at which time a breeze sprung up at north by west; at this time
we had 70 fathoms water, being about 4 or 5 leagues from the land, the
pidgeon house bearing north 40 degrees west, mount dromedary south 30
degrees west, and the northermost land in sight north 19 degrees east."
-34.1667;152.45;blue;"wednesday, 25th. in the p.m. had a fresh breeze at north-west until 3
o'clock, at which time it came to west, and we tack'd and stood to the
northward."
-34.0;152.6167;blue;thursday, 26th. clear, serene weather.
-32.8833;152.0;blue;"sunday, 6th. in the evening the yawl return'd from fishing, having caught
2 sting rays weighing near 600 pounds."
-30.7167;154.75;blue;"thursday, 10th. in the p.m., had the wind at north-east by north, with
which we stood in shore until near 4 o'clock, when we tack'd in 23
fathoms water, being about a mile from the land, and as much to the
southward of cape 3 points."
-25.5667;154.75;blue;"sunday, 13th. in the p.m. stood in shore with the wind at north-east
until 6, at which time we tack'd, being about 3 or 4 miles from the land,
and in 24 fathoms."
-23.1167;18.0;blue;"friday, 18th. in steering along shore at the distance of 2 leagues off
our soundings was from 24 to 32 fathoms sandy bottom."
-22.8833;0.3333;blue;"saturday, 26th. in the p.m. light breezes at east-south-east, with which
we stood to the north-west until 4 o'clock, when it fell calm, and soon
after we anchored in 12 fathoms."
-22.0833;150.4;blue;"sunday, 27th. we had not stood on to the northward quite an hour before
we fell into 3 fathoms, upon which i anchor'd, and sent away the master
with 2 boats to sound the channell, which lay to leeward of us between
the northermost island and the main land, which appear'd to me to be
pretty broad; but i suspected that it was shoal, and so it was found, for
the master reported to me upon his return that he found in many places
only 2 1/2 fathoms, and where we lay at anchor we had only 16 feet, which
was not 2 feet more than the ship drew."
-21.4833;59.0;blue;"wednesday, 30th. in the p.m. i went again in search of fresh water, but
had no better success than before; wherefore i gave over all thoughts of
laying the ship a shore, being resolved to spend as little time as
possible in a place that was likely to afford us no sort of refreshment."
-20.9333;16.0;blue;"friday, june 1st. at 1/2 an hour after noon, upon the boat we had ahead
sounding making the signal for shoal water, we hauld our wind to the
north-east, having at that time 7 fathoms; the next cast 5, and then 3,
upon which we let go an anchor, and brought the ship up."
-19.0167;1.5;blue;"saturday, 2nd. winds at south-south-east and south-east, a gentle breeze,
with which we stood to the north-west and north-west by north, as the
land lay, under an easey sail."
-13.0333;144.0;blue;"wednesday, 6th. light airs at east-south-east, with which we steer'd
west-north-west as the land now lay; depth of water 12 and 14 fathoms."
-12.6333;144.75;blue;wednesday, 15th. fresh trade at south-east and clear weather.
-12.0;143.4167;blue;"in the p.m., as the wind would not permit us to sail out by the same
channel as we came in, neither did i care to move until the pinnace was
in better repair, i sent the master with all the other boats to the reef
to get such refreshments as he could find, and in the meantime the
carpenters were repairing the pinnace. variations by the amplitude and
azimuth in the morning 4 degrees 9 minutes easterly; at noon latitude
observed 12 degrees 38 minutes south, longitude in 216 degrees 45 minutes
west."
-11.3833;143.7667;blue;sunday, 19th. gentle breezes at south-east by east and clear wether.
-10.55;141.3667;blue;monday, 20th. fresh breezes at east-south-east.
-10.45;142.6;blue;"thursday, 23rd. in the p.m. had little wind and variable, with which and
the tide of flood we keept advancing to the west-north-west; depth of
water 8, 7, and 5 fathoms."
-10.3;141.65;blue;"the north-east entrance of this passage or strait lies in the latitude of
10 degrees 27 minutes south, and in the longitude of 218 degrees 36
minutes west from the meridian of greenwich. * (* as before mentioned,
this longitude is over a degree in error."
-10.1667;140.2;blue;saturday, 25th. winds at north-east and east-north-east, a gentle breeze.
-9.9333;139.0;blue;sunday, 26th. fresh breezes at east in standing to the north-west.
-8.2167;139.4167;blue;"monday, 27th. fresh breezes between the east by north and
east-south-east, with which we steer'd west until sun set; depth of water
from 27 to 23 fathoms."
-8.6333;138.5667;blue;"wednesday, 29th. continued standing to the northward, with a fresh gale
at east by south and south-east until 6 o'clock, having very irregular
and uncertain soundings from 24 to 7 fathoms."
-8.4;138.9167;blue;"thursday, 30th. fresh breezes at south-east, east-south-east, and east by
south."
-7.65;138.7;blue;"friday, 31st. between 12 and 1 in the p.m. steer'd north-north-west, in
which time we shoalded our water from 8 to 5 1/2, which i thought was
little enough, and therefore keept away again west, and soon depen'd it
to 7 fathoms, which depth we keept until 6, having the land just in sight
from the deck."
